868,Solidarity.,0,0,0,0,0,0,0,0,0,1
867,Solidarity.,0,0,0,0,0,0,0,0,0,1
866,Solidarity.,0,0,0,0,0,0,0,0,0,1
632,"—Colin Joyce | LISTEN Taphari, Earth's No Fun Brooklyn rapper Taphari's debut EP is an ode to the power you can find in alienation.",0,0,0,0,0,0,0,0,1,0
633,"—Colin Joyce | LISTEN Taphari, Earth's No Fun Brooklyn rapper Taphari's debut EP is an ode to the power you can find in alienation.",0,0,0,0,0,0,0,0,1,0
2541,"If so, why do the UK Government allocate official development assistance spending only to mitigation and adaptation?",0,0,0,0,0,0,0,0,1,0
2542,"If so, why do the UK Government allocate official development assistance spending only to mitigation and adaptation?",0,0,0,1,0,0,0,0,0,0
2543,"If so, why do the UK Government allocate official development assistance spending only to mitigation and adaptation?",0,0,0,1,0,0,0,0,0,0
2436,The UK has an enviable record of success in decarbonisation.,0,0,1,0,0,0,0,0,0,0
2435,The UK has an enviable record of success in decarbonisation.,0,0,0,0,0,0,0,0,1,0
2434,The UK has an enviable record of success in decarbonisation.,0,1,0,0,0,0,0,0,0,0
55,The chart details the number of 'balconing' cases per nationality (no de Casos).,0,0,0,0,0,0,0,0,1,0
54,The chart details the number of 'balconing' cases per nationality (no de Casos).,0,1,0,0,0,0,0,0,0,0
53,The chart details the number of 'balconing' cases per nationality (no de Casos).,0,0,0,0,0,0,0,0,1,0
2948,"Will he confirm whether he has had any discussions with the Secretary of State for Environment, Food and Rural Affairs about an income protection measure or a compensation package for hill farmers when their industry gets decimated under a no-deal Brexit?",0,0,0,0,1,0,0,0,0,0
2947,"Will he confirm whether he has had any discussions with the Secretary of State for Environment, Food and Rural Affairs about an income protection measure or a compensation package for hill farmers when their industry gets decimated under a no-deal Brexit?",0,0,0,0,0,0,0,0,0,1
2946,"Will he confirm whether he has had any discussions with the Secretary of State for Environment, Food and Rural Affairs about an income protection measure or a compensation package for hill farmers when their industry gets decimated under a no-deal Brexit?",0,0,0,0,1,0,0,0,0,0
490,"Addressing Mr Putin directly, Sir Elton wrote on Twitter: ""I strongly disagree with your view that pursuing policies that embrace multicultural and sexual diversity are obsolete in our societies.",0,0,0,0,0,0,0,0,1,0
489,"Addressing Mr Putin directly, Sir Elton wrote on Twitter: ""I strongly disagree with your view that pursuing policies that embrace multicultural and sexual diversity are obsolete in our societies.",0,0,0,0,0,0,0,0,1,0
491,"Addressing Mr Putin directly, Sir Elton wrote on Twitter: ""I strongly disagree with your view that pursuing policies that embrace multicultural and sexual diversity are obsolete in our societies.",0,0,0,0,0,0,0,0,1,0
1502,"A loud bang heard across Essex was a sonic boom caused by military aircraft, police have said.",0,0,1,0,0,0,0,0,1,0
1501,"A loud bang heard across Essex was a sonic boom caused by military aircraft, police have said.",0,0,0,0,0,0,0,0,1,0
1500,"A loud bang heard across Essex was a sonic boom caused by military aircraft, police have said.",0,0,1,0,0,0,0,0,0,0
1396,"THE Duchess of Sussex's best friend Jessica Mulroney has hit back at body-shaming trolls, taking to social media to brand them 'petty and cowardly'.",0,0,0,0,0,0,0,0,1,0
1397,"THE Duchess of Sussex's best friend Jessica Mulroney has hit back at body-shaming trolls, taking to social media to brand them 'petty and cowardly'.",0,0,0,0,0,0,0,0,1,0
1395,"THE Duchess of Sussex's best friend Jessica Mulroney has hit back at body-shaming trolls, taking to social media to brand them 'petty and cowardly'.",0,0,0,0,0,0,0,0,1,0
1379,"Young Kim reportedly received a comprehensive historical education in Switzerland, with topics including Martin Luther King Jr, Nelson Mandela and the French Revolution.",0,0,0,0,0,0,0,0,1,0
1381,"Young Kim reportedly received a comprehensive historical education in Switzerland, with topics including Martin Luther King Jr, Nelson Mandela and the French Revolution.",0,0,0,0,0,0,0,0,1,0
1380,"Young Kim reportedly received a comprehensive historical education in Switzerland, with topics including Martin Luther King Jr, Nelson Mandela and the French Revolution.",0,0,0,0,0,0,0,0,1,0
2940,I do not want to be excessively partisan on an issue that I know from my discussions with the Scottish Government is a common commitment that we make to maintain and increase our ambition and at the same time create jobs in every part of the UK including Scotland.,0,0,0,0,0,0,0,1,0,0
2939,I do not want to be excessively partisan on an issue that I know from my discussions with the Scottish Government is a common commitment that we make to maintain and increase our ambition and at the same time create jobs in every part of the UK including Scotland.,0,0,0,0,0,0,0,0,1,0
2938,I do not want to be excessively partisan on an issue that I know from my discussions with the Scottish Government is a common commitment that we make to maintain and increase our ambition and at the same time create jobs in every part of the UK including Scotland.,1,0,0,0,1,0,0,0,1,0
2170,When will we adopt a Norwegian-style plan on aviation and shipping emissions that will eradicate those emissions and mean that we can meet our carbon budget targets?,0,0,1,0,1,0,0,0,0,0
2169,When will we adopt a Norwegian-style plan on aviation and shipping emissions that will eradicate those emissions and mean that we can meet our carbon budget targets?,0,0,0,1,0,0,0,0,0,0
2171,When will we adopt a Norwegian-style plan on aviation and shipping emissions that will eradicate those emissions and mean that we can meet our carbon budget targets?,0,0,0,1,1,0,0,0,1,0
2994,We trust schools and teachers to administer SATs in an appropriate way so that stress is not put on to children.,0,0,1,0,0,0,0,0,0,0
2996,We trust schools and teachers to administer SATs in an appropriate way so that stress is not put on to children.,0,0,0,0,0,0,0,0,0,1
2997,We trust schools and teachers to administer SATs in an appropriate way so that stress is not put on to children.,0,0,0,0,0,0,1,0,0,0
2995,We trust schools and teachers to administer SATs in an appropriate way so that stress is not put on to children.,0,0,0,0,0,0,1,0,0,0
1155,"The attacker appears to be standing on Westminster Bridge, evoking horrific memories of the 2017 terror attack which left six dead.",0,1,0,0,0,0,0,0,0,0
